board,job_id,url,title,company,location,country,salary,currency,degree_required,eu_passport_required,contract_length,start_date,apply_email,apply_url,posted_date,description,raw
anesl,2017021315145293055,https://cafe.anesl.com/jobdetail.aspx?id=2017021315145293055,"German Trainer related to auto needed at Daxing, Beijing",,Yizhuang Daxing District Beijing,China,15000-30000,RMB,Bachelor,,,Anytime,hr@anesl.com,,2024/3/28,,"Position ID: BJ9439
Employer’s Type: Private Company
Job’s Type: Teaching Job
Location: Yizhuang Daxing District Beijing
Start Date: From: Anytime At least 10 Months
Vacancy: 2
Update: 2024/3/28
Labels of this Job: Tourist City International Metropolis City
Degree: Bachelors/ Degree or Above
Age: From: 25 To: 60 years old
Work Experience: at least 1 years
Nationality: Germany,
Specialty: Auto is preferred
Gender: Unrequired
Salary/M: From RMB: 15000 To RMB: 30000
Period/week: Teaching hours: 20 Office working Hours: 20
Student’s age: from: 12 to: 50 years old
Airfare: RMB /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 0 /Year
Allowance Apartment: Private Apartment
Apartment Detail: Internet,Private Bedroom , TV,Private Kitchen ,Air Conditioning/ Heating,Private Bathroom,Furniture Water ,Washing Machine ,Electricity,Refrigerator,Gas ,
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20251117180722299,https://cafe.anesl.com/jobdetail.aspx?id=20251117180722299,"Nationality unrequired, University Artificial Intelligence Lecturers, Foshan & Guangzhou, Guangdong",,"Foshan, Guangdong",China,25000-33000,RMB,PhD,,,Anytime,hr@anesl.com,,2026/4/9,,"Position ID: GD3903
Employer’s Type: Public University
Job’s Type: Teaching Job
Location: Foshan Guangdong
Start Date: From: Anytime At least 6 Months
Vacancy: 5
Update: 2026/4/9
Labels of this Job: Tourist City International Metropolis City Famous Universities/Schools China 211 University Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only PhD/Doctorate or Above
Age: Only From: 20 To: 65 years old
Work Experience: Only at least 2 years
Nationality: Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 25000 To RMB: 33000
Period/week: Teaching hours: 18 Office working Hours: 5
Student’s age: from: 18 to: 25 years old
Airfare: RMB 10000 /Year
Travel Allowance: None Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20150414125519566,https://cafe.anesl.com/jobdetail.aspx?id=20150414125519566,"Nationality Unrequired, Mathematics/Physics/Chemistry/Economics/Accounting Lecturers needed",,"Changzhou, Jiangsu",China,25000-30000,RMB,Bachelor,,at least 10 months,Anytime,hr@anesl.com,,2025/11/10,,"Position ID: JS9932
Employer’s Type: Public International School
Job’s Type: Teaching Job
Location: Changzhou Jiangsu
Start Date: From: Anytime At least 10 Months
Vacancy: 4
Update: 2025/11/10
Labels of this Job: Coastal City Small City Provide Residence Permit,Work Visa and Work Permit for Education Nationality Unrequired
Special Note: Probation period: 90 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 25 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Canada,United Kingdom,United States,Australia,New Zealand,China,
Specialty: Unrequired
Gender: Unrequired
Statements: Teachers with A-level, AP or IB experience are preferred. At least one-year duration.
Salary/M: From RMB: 25000 To RMB: 30000
Period/week: Teaching hours: 18 Office working Hours: 0
Student’s age: from: 16 to: 19 years old
Course: A-Leve Other2
Course Statements: Australian National Curriculum Year 11 to Year 12, AP.Teaching high school grade 11 to 12 courses (Pre-University);South Australian Certificate of Education (SACE International) Program.
Airfare: RMB /Year
Airfare Statements: Round way tickets
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 300000 /Year
Allowance Apartment: Private Apartment
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20231110162802085,https://cafe.anesl.com/jobdetail.aspx?id=20231110162802085,"Nationality Unrequired,Aircraft Maintenance teachers needed at Guangzhou, Guangdong",,"Guangzhou, Guangdong",China,25000-40000,RMB,Bachelor,,,Anytime,hr@anesl.com,,2025/5/22,,"Position ID: GD1252
Employer’s Type: Public University
Job’s Type: Teaching Job
Location: Guangzhou Guangdong
Start Date: From: Anytime At least 6 Months
Vacancy: 5
Update: 2025/5/22
Labels of this Job: Tourist City International Metropolis City Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Canada,United Kingdom,United States,Australia,New Zealand,Ireland,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 25000 To RMB: 40000
Period/week: Teaching hours: 18 Office working Hours: 0
Student’s age: from: 18 to: 25 years old
Course Statements: Courses: 
Basic Aircraft Electricity(DC)，
Basic Aircraft Electricity(AC)，
Electronic Circuits & Communication Systems，
Digital & Microcomputer Techniques， 
Aircraft Science and Aerodynamics，
Aircraft Handling Procedures，
Aircraft Drawings，
Aircraft Wood, Tubular, and Fabric Repair，
Technical Writing
Airfare: RMB 8000 /Year
Travel Allowance: RMB 2200 Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Apartment Detail: Computer,Office,Internet,Private Bedroom , TV,Private Kitchen ,Air Conditioning/ Heating,Private Bathroom,Phone,Furniture Water ,Washing Machine ,Electricity,Refrigerator,Gas ,
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20241230155931728,https://cafe.anesl.com/jobdetail.aspx?id=20241230155931728,OCT courses: Science/Mathematics/Humanities and Social sciences Teachers needed,,"Nanjing, Jiangsu",China,27000-30000,RMB,Bachelor,,10 months,Anytime,hr@anesl.com,,2024/12/30,,"Position ID: JS0643
Employer’s Type: Private International School
Job’s Type: Teaching Job
Location: Nanjing Jiangsu
Start Date: From: Anytime At least 10 Months
Vacancy: 5
Update: 2024/12/30
Labels of this Job: Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 27000 To RMB: 30000
Period/week: Teaching hours: 18 Office working Hours: 5
Student’s age: from: 12 to: 19 years old
Course: Mathematical Science Natural Science
Airfare: RMB /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Apartment Detail: Computer,Office,Internet,Private Bedroom , TV,Private Kitchen ,Air Conditioning/ Heating,Private Bathroom,Phone,Furniture Water ,Washing Machine ,Electricity,Refrigerator,Gas ,
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20240709142126777,https://cafe.anesl.com/jobdetail.aspx?id=20240709142126777,"Canadian International School, English Teachers needed in Nanjing, Jiangsu",Canadian International School,"Nanjing, Jiangsu",China,27000-30000,RMB,Bachelor,,,Anytime,hr@anesl.com,,2024/7/9,,"Position ID: JS0642
Employer’s Type: Private International School
Job’s Type: Teaching Job
Location: Nanjing Jiangsu
Start Date: From: Anytime At least 6 Months
Vacancy: 5
Update: 2024/7/9
Labels of this Job: Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Only Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 27000 To RMB: 30000
Period/week: Teaching hours: 40 Office working Hours: 0
Student’s age: from: 15 to: 19 years old
Airfare: RMB /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Apartment Detail: Computer,Office,Internet,Private Bedroom , TV,Private Kitchen ,Air Conditioning/ Heating,Private Bathroom,Phone,Furniture Water ,Washing Machine ,Electricity,Refrigerator,Gas ,
Statements: Candidates with a Canadian teaching certificate (especially an Ontario teaching certificate) are preferred
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20240524161451075,https://cafe.anesl.com/jobdetail.aspx?id=20240524161451075,"International Kindergarten, Kids English Teachers needed at Beijing",,Haidian District Beijing,China,32000-35000,RMB,Bachelor,,,Anytime,hr@anesl.com,,2024/5/24,,"Position ID: BJ1301
Employer’s Type: Private Kindergarten
Job’s Type: Teaching Job
Location: Haidian District Beijing
Start Date: From: Anytime At least 6 Months
Vacancy: 5
Update: 2024/5/24
Labels of this Job: International Metropolis City Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Only Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 32000 To RMB: 35000
Period/week: Teaching hours: 40 Office working Hours: 0
Student’s age: from: 3 to: 6 years old
Airfare: RMB 10000 /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20240524120945034,https://cafe.anesl.com/jobdetail.aspx?id=20240524120945034,"International School, English Music Teachers needed in Wuhan, Hubei",,"Wuhan, Hubei",China,32000-36000,RMB,Bachelor,,,Anytime,HR@anesl.com,,2024/5/24,,"Position ID: HUB2823
Employer’s Type: Private Foreign Languge School
Job’s Type: Teaching Job
Location: Wuhan Hubei
Start Date: From: Anytime At least 6 Months
Vacancy: 3
Update: 2024/5/24
Labels of this Job: International Metropolis City Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Only Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 32000 To RMB: 36000
Period/week: Teaching hours: 30 Office working Hours: 10
Student’s age: from: 6 to: 12 years old
Airfare: RMB /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20190307154701478,https://cafe.anesl.com/jobdetail.aspx?id=20190307154701478,"Assistant and Professors Needed in Famous University, Shenzhen, Guangdong",,"Shenzhen, Guangdong",China,24000-40000,RMB,PhD,,,Anytime,hr@anesl.com,,2024/5/23,,"Position ID: GD1081
Employer’s Type: Public University
Job’s Type: Teaching Job
Location: Shenzhen Guangdong
Start Date: From: Anytime At least 10 Months
Vacancy: 5
Update: 2024/5/23
Labels of this Job: Tourist City International Metropolis City Famous Universities/Schools Coastal City China 211 University Provide Residence Permit,Work Visa and Work Permit for Education
Degree: Only PhD/Doctorate or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Only Canada,United Kingdom,United States,Australia,New Zealand,Ireland,
Specialty: Unrequired
Gender: Unrequired
Statements: The annual salary is about RMB240,000 for an  assistant professor, RMB300,000 for an associated professor, RMB400,000 for a professor.
Salary/M: From RMB: 24000 To RMB: 40000
Period/week: Teaching hours: 18 Office working Hours: 22
Student’s age: from: 20 to: 60 years old
Course: Llistening, Speaking, Reading and Writing American and British Culture Physics Chemistry Mathematical Economics Science Biology Dance Natural Science Sports IELTS TOEFL A-Leve SAT History IT Software Medicine Montessori Nursing Geography Law Other2 Other1 Global Assessment Certificate
Airfare: RMB /Year
Airfare Statements: Negotiable.
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 0 /Year
Allowance Apartment: Private Apartment
Apartment Detail: Computer,Office,Internet,Private Bedroom , TV,Private Kitchen ,Air Conditioning/ Heating,Private Bathroom,Phone,Furniture Water ,Washing Machine ,Electricity,Refrigerator,Gas ,
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
anesl,20240523180418250,https://cafe.anesl.com/jobdetail.aspx?id=20240523180418250,"International School, Head of English Department needed in Shenzhen, Guangdong",,"Shenzhen, Guangdong",China,30000-50000,RMB,Bachelor,,,Anytime,hr@anesl.com,,2024/5/23,,"Position ID: GD1441
Employer’s Type: Private International School
Job’s Type: Teaching Job
Location: Shenzhen Guangdong
Start Date: From: Anytime At least 10 Months
Vacancy: 5
Update: 2024/5/23
Labels of this Job: Tourist City International Metropolis City Coastal City Provide Residence Permit,Work Visa and Work Permit for Education
Special Note: Probation period: 30 days
Degree: Only Bachelors/ Degree or Above
Age: Only From: 20 To: 60 years old
Work Experience: Only at least 2 years
Nationality: Only Canada,United Kingdom,United States,Australia,New Zealand,Ireland,South Africa,
Specialty: Unrequired
Gender: Unrequired
Salary/M: From RMB: 30000 To RMB: 50000
Period/week: Teaching hours: 20 Office working Hours: 20
Student’s age: from: 6 to: 12 years old
Airfare: RMB /Year
Travel Allowance: RMB Year
Telephone Allowance: RMB /Year
Medical/Insurance: RMB 1360 /Year
Allowance Apartment: Private Apartment
Contact Person: Mr.Corey Yang
Tel No.: +86-10-51663658
E-Mail: hr@anesl.com"
