board,job_id,url,title,company,location,country,salary,currency,degree_required,eu_passport_required,contract_length,start_date,apply_email,apply_url,posted_date,description,raw
seriousteachers,233872,https://www.seriousteachers.com/job_details/233872/0/,SeriousTEFL with Exclusive Jobs for Our Graduates,SeriousTEFL,,Online,Negotiable,,none,,,,,,,"Required Degrees: none Fields of Expertise: Science, Nursery, Elementary, Curriculum Developer, ESL to Children, Kindergarten, High School, University, French, Spanish, Science, Math/Physics, Summer Camps, Salary: Negotiable SeriousTEFL distinguishes itself through several key features. First, it offers exclusive job opportunities for its 120-hour Diploma graduates. These graduates gain access to a network of employers and recruiters offering teaching positions in over 150 countries. Second, SeriousTEFL boasts a substantial community of 48,000 graduates, highlighting its extensive reach and alumni network. Visit Website","Required Degrees: none Fields of Expertise: Science, Nursery, Elementary, Curriculum Developer, ESL to Children, Kindergarten, High School, University, French, Spanish, Science, Math/Physics, Summer Camps, Salary: Negotiable SeriousTEFL distinguishes itself through several key features. First, it offers exclusive job opportunities for its 120-hour Diploma graduates. These graduates gain access to a network of employers and recruiters offering teaching positions in over 150 countries. Second, SeriousTEFL boasts a substantial community of 48,000 graduates, highlighting its extensive reach and alumni network. Visit Website"
seriousteachers,268760,https://www.seriousteachers.com/job_details/268760/0/,Taxfree Roles All Subjects/Levels-June/July/Aug26,,,,"27,500 - 47,500",USD,Bachelor,,,June/July/Aug 2026,,https://iinizio.com/,,"Required Degrees: Bachelors Degree in the subject you wish to teach Fields of Expertise: ESL/EFL, Nursery, Elementary, ESL to Children, Kindergarten, High School, University, Science, Math/Physics, Leadership (VPs, Principals, HODs, etc.) Salary: $27,500 USD Details: ***Please read carefully and apply on the website, kindly ensure your profile is updated and a cv is attached when you apply for various openings online; incomplete applications will not be contacted *** We have jobs across the globe, certain countries have certain eligibility requirements Only must haves: -Bachelors degree in the subject you wish to teach -Clean CRB and Police Clearance upon request -A valid passport from UK, USA, Ireland, Canada, Australia, New Zealand, or South Africa. Package: -Annual Salary between 27,500 USD to 47,500 USD depending on qualifications and experience -Free fully furnished housing with utilities paid OR accommodation allowance - Govt medical insurance for employee -Free annual flights for employee And many other benefits! APPLY NOW!!!","Required Degrees: Bachelors Degree in the subject you wish to teach Fields of Expertise: ESL/EFL, Nursery, Elementary, ESL to Children, Kindergarten, High School, University, Science, Math/Physics, Leadership (VPs, Principals, HODs, etc.) Salary: $27,500 USD Details: ***Please read carefully and apply on the website, kindly ensure your profile is updated and a cv is attached when you apply for various openings online; incomplete applications will not be contacted *** We have jobs across the globe, certain countries have certain eligibility requirements Only must haves: -Bachelors degree in the subject you wish to teach -Clean CRB and Police Clearance upon request -A valid passport from UK, USA, Ireland, Canada, Australia, New Zealand, or South Africa. Package: -Annual Salary between 27,500 USD to 47,500 USD depending on qualifications and experience -Free fully furnished housing with utilities paid OR accommodation allowance - Govt medical insurance for employee -Free annual flights for employee And many other benefits! APPLY NOW!!!"
seriousteachers,280377,https://www.seriousteachers.com/job_details/280377/0/,Online ESL Teacher - Japanese Adult Students,The Really Great Teacher Company,Remote,Online,6.50 per hour,USD,National Diploma,,,As soon as the recruitment process is concluded,,https://reallygreatteachers.com/teachers/teaching-jobs/opportunities/online-esl-teacher-japanese-adult-students?utm_source=Serious+Teachers&utm_medium=Paid+ad&utm_campaign=Aeon+SA,,"Required Degrees: National Diploma in any field Fields of Expertise: ESL/EFL, Teaching Adults Salary: $6 USD Details: Introduction: Does the ESL grind feel like you’re just filling seats? You love teaching English. You’re good at it. But somewhere between the back-to-back group classes, the unpredictable schedules, and the lack of real student connection, it stopped feeling like teaching and started feeling like crowd management. What if you could teach one student at a time — someone who actually booked you, actually shows up, and actually wants to learn? Here Is Your Solution: The Really Great Teacher Company is looking for a passionate, professional South African ESL teacher to deliver one-on-one conversational and assessment-based English lessons to adult Japanese students. This is a structured, fully remote role with a real platform behind it — and students who choose to come back to you. Why This Is Your Ideal Job: Earn in USD: Your rate is $6.50 USD per hour — paid in a stable international currency, straight to you as an independent contractor. Real One-on-One Teaching: No group classes. Every session is 25 minutes with a single adult student. You’ll adapt to their level —","Required Degrees: National Diploma in any field Fields of Expertise: ESL/EFL, Teaching Adults Salary: $6 USD Details: Introduction: Does the ESL grind feel like you’re just filling seats? You love teaching English. You’re good at it. But somewhere between the back-to-back group classes, the unpredictable schedules, and the lack of real student connection, it stopped feeling like teaching and started feeling like crowd management. What if you could teach one student at a time — someone who actually booked you, actually shows up, and actually wants to learn? Here Is Your Solution: The Really Great Teacher Company is looking for a passionate, professional South African ESL teacher to deliver one-on-one conversational and assessment-based English lessons to adult Japanese students. This is a structured, fully remote role with a real platform behind it — and students who choose to come back to you. Why This Is Your Ideal Job: Earn in USD: Your rate is $6.50 USD per hour — paid in a stable international currency, straight to you as an independent contractor. Real One-on-One Teaching: No group classes. Every session is 25 minutes with a single adult student. You’ll adapt to their level — from absolute beginner to very advanced — and actually see the impact of your teaching. Teach Into a Market That Values Education: Japanese adult learners are motivated, respectful, and genuinely invested in improving their English. If they like you, they come back — meaning you can build a loyal, consistent student base over time. Minimal Admin — No Report Writing Required: The client uses AI to generate detailed student reports. Your only contribution is a brief, encouraging message — around 2 minutes of your time per class. That’s it. Everything You Need Is Provided: Lesson materials are fully provided. You teach on the client’s internal platform (linked to Zoom) — no lesson planning from scratch, no hunting for resources. Free Professional Development via Inspire Academy: As a teacher with The Really Great Teacher Company, you get access to Inspire Academy — our free professional development platform designed to help you grow as an online educator. Position Details: Start Date: As soon as the recruitment process is concluded Location: Remote - work-from-home Students: Adult Japanese learners (all proficiency levels, beginner to advanced) Format: One-on-one, 25-minute conversational and assessment-based classes Language of Instruction: English Rate: $6.50 USD per hour Contract Type: Independent contractor agreement with The Really Great Teacher Company Schedule: Assigned shift; 5-minute break between consecutive classes Additional Classes: Option to cover classes for absent teachers Student Booking: Students book one class at a time; regular students possible if they enjoy your teaching Minimum Qualifications: 3-year National Diploma (minimum qualification) Completed, accredited 120-hour TEFL certificate or equivalent Minimum 1 year of ESL teaching experience Demo lesson required as part of the application process Able to teach English across all CEFR proficiency levels — from absolute beginner to advanced Energetic, student-focused, and comfortable teaching online Schedule-aware and responsive: you are responsible for knowing your shift and adapting to changes Skills & Personal Attributes: Clear and effective communication Patience and empathy with learners at all levels Positive attitude and professional presence Strong time management and organisational skills Adaptability in a dynamic, student-driven environment Problem-solving mindset Tech Requirements: Computer: Processor minimum 2GHz / 4 CPU; RAM minimum 8GB Internet: Fibre connection with LAN cable; minimum 20 Mbps upload and download speed Backup power: Required (load shedding/power outage preparedness) Webcam and noise-cancelling headset Quiet, private, well-lit teaching space with a neutral background"
seriousteachers,279967,https://www.seriousteachers.com/job_details/279967/0/,Online English Teacher - Remote Position Brazil,The Really Great Teacher Company,Online,Brazil,Negotiable,,Bachelor,,,January/February 2026,,https://reallygreatteachers.com/teachers/teaching-jobs/opportunities/online-english-teacher-remote-position-brazil?utm_source=Serious+Teachers&utm_medium=Paid+ad&utm_campaign=OE+-+BL+Port,,"Required Degrees: Bachelor’s degree and 120-hour TEFL Certificate Fields of Expertise: ESL/EFL, ESL to Children, High School, Salary: Negotiable Details: Are you a fluent Portuguese speaker looking to fill your days with meaningful online English teaching? Introduction You love teaching English, but you’re seeking more opportunities to connect with students, advance your professional growth, and earn a supplemental income. What if you could do all this while working from home and setting your own schedule? Here’s how this role works for you: Flexible hours: Teach part-time (minimum 10 hrs/week) within service hours 06:00–20:00 ET (subject to Daylight Savings in ET/Miami). Peak hours: Monday to Thursday 16:00–20:00 ET. (Must work a minimum of 6 hours). Saturdays: Work at least 2 hours between 06:00–20:00 ET. Shift options: Monday & Wednesday OR Tuesday & Thursday OR both pairs (same working hours for each pair). Perfect for filling your days or evenings. Work from home: No commute, no stress. Teach from the comfort of your own space. Regular Students: Teach young learners/teens Professional growth: Access free training and development resources to enhance your teaching skills. Posit","Required Degrees: Bachelor’s degree and 120-hour TEFL Certificate Fields of Expertise: ESL/EFL, ESL to Children, High School, Salary: Negotiable Details: Are you a fluent Portuguese speaker looking to fill your days with meaningful online English teaching? Introduction You love teaching English, but you’re seeking more opportunities to connect with students, advance your professional growth, and earn a supplemental income. What if you could do all this while working from home and setting your own schedule? Here’s how this role works for you: Flexible hours: Teach part-time (minimum 10 hrs/week) within service hours 06:00–20:00 ET (subject to Daylight Savings in ET/Miami). Peak hours: Monday to Thursday 16:00–20:00 ET. (Must work a minimum of 6 hours). Saturdays: Work at least 2 hours between 06:00–20:00 ET. Shift options: Monday & Wednesday OR Tuesday & Thursday OR both pairs (same working hours for each pair). Perfect for filling your days or evenings. Work from home: No commute, no stress. Teach from the comfort of your own space. Regular Students: Teach young learners/teens Professional growth: Access free training and development resources to enhance your teaching skills. Position Details: Start Date: January/February 2026 Contract Type: Independent Service Provider with The Really Great Teacher Company. Minimum Qualifications: Fluent English (C1/C2 level) and Portuguese speaker. 3+ years of online or in-class English teaching experience. Accredited 120-hour+ TEFL/TESOL/CELTA certification Bachelor’s Degree in English, Translation, English Literature, or any other related field. Familiarity with CEFR and ESL assessments. Highly computer literate with excellent communication skills. Completed proficiency test from an accredited institution. If you do not have one, we will provide you with a proficiency test at an additional cost. Clean criminal record. Tech Requirements: PC: Intel® Core™ i5 CPU 2.40GHz (4 CPUs) or better, 8GB RAM or greater. Internet: Stable fiber connection (20 Mbps upload/download) via LAN cable. Backup Power: UPS with 4-5 hours of battery life (recommended for areas with frequent power interruptions). Equipment: Noise-cancelling headset, HD webcam (720p), and a quiet, well-lit teaching space."
seriousteachers,280368,https://www.seriousteachers.com/job_details/280368/0/,ESL Teacher - Hopewell Institute,Hopewell Institute,Cheonan,South Korea,2.4,KRW,Bachelor,,,Flexible,,https://www.seriousteachers.com/te2/respond/280368/24440,,"Required Degrees: Bachelor’s Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Hopewell Institute Details: English Teacher Position – Hopewell Institute, Cheonan Hopewell Institute is a privately owned English academy for children in Cheonan, South Korea. We focus on building confidence, communication skills, and strong English foundations. We are seeking a young, early-career teacher passionate about education and eager to grow professionally. Ideal candidate: • Recent university graduate • Native or fluent English speaker • Strong interest in teaching children • Willing to learn and follow our system • Positive, reliable, and team-oriented Experience: Not required Training: Provided Start: Flexible We offer: • Supportive, close-knit team • Structured curriculum and materials • Guidance and feedback to help you improve • Stable, professional working environment Qualifications: - Must be from a native English-speaking country (Canada, the US, the UK, Australia, South Africa, etc.). - Hold any bachelor’s degree (English or Linguistics preferred). - TESOL certificate holders are preferred but not necessary. Compensation and Benefits: - Salary: 2.4 - Airfare to Korea p","Required Degrees: Bachelor’s Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Hopewell Institute Details: English Teacher Position – Hopewell Institute, Cheonan Hopewell Institute is a privately owned English academy for children in Cheonan, South Korea. We focus on building confidence, communication skills, and strong English foundations. We are seeking a young, early-career teacher passionate about education and eager to grow professionally. Ideal candidate: • Recent university graduate • Native or fluent English speaker • Strong interest in teaching children • Willing to learn and follow our system • Positive, reliable, and team-oriented Experience: Not required Training: Provided Start: Flexible We offer: • Supportive, close-knit team • Structured curriculum and materials • Guidance and feedback to help you improve • Stable, professional working environment Qualifications: - Must be from a native English-speaking country (Canada, the US, the UK, Australia, South Africa, etc.). - Hold any bachelor’s degree (English or Linguistics preferred). - TESOL certificate holders are preferred but not necessary. Compensation and Benefits: - Salary: 2.4 - Airfare to Korea provided, with return airfare upon contract completion. - Furnished single studio apartment. - Summer and Winter vacations plus national holidays. - Full visa sponsorship provided. - Health insurance and National Pension plan. - Severance payment upon contract completion. This role is best suited for someone who wants to start their career in teaching and develop good habits from the beginning. Please send your resume and a brief introduction explaining why you want to teach."
seriousteachers,266186,https://www.seriousteachers.com/job_details/266186/0/,Canadian Cert. ESL/Social Studies & Physics/sci.,Canada British Columbia International Schools,,China,Excellent salary,,Bachelor,,,,,https://www.seriousteachers.com/te2/respond/266186/16344,,"Required Degrees: Relevant Bachelor and Education degrees Fields of Expertise: Canadian or IB experience Details: Canadian International Schools invites applications from individuals who thrive in exciting intercultural environments to apply for high school teacher positions at Canada British Columbia International Schools (various campuses) in China. CBC International Schools offer the British Columbia graduation program. Canada British Columbia International Schools attract exceptional students who are Chinese nationals and have studied English as a Second Language from their primary years. Students are offered ELL classes in addition to the British Columbia Graduation Program. The goal of most students is to attend a BC or other Canadian university after graduation. Teachers are amazed by the students’ focus on their academic goals and their high level of respect for teachers. The BC programs typically have about 75-200 students from grade 10-12. Successful teachers in our schools have the following characteristics: •Interest in living in China and learning about and from the local Chinese students and teaching staff; •Dedication to teaching highly motivated, university-bound st","Required Degrees: Relevant Bachelor and Education degrees Fields of Expertise: Canadian or IB experience Details: Canadian International Schools invites applications from individuals who thrive in exciting intercultural environments to apply for high school teacher positions at Canada British Columbia International Schools (various campuses) in China. CBC International Schools offer the British Columbia graduation program. Canada British Columbia International Schools attract exceptional students who are Chinese nationals and have studied English as a Second Language from their primary years. Students are offered ELL classes in addition to the British Columbia Graduation Program. The goal of most students is to attend a BC or other Canadian university after graduation. Teachers are amazed by the students’ focus on their academic goals and their high level of respect for teachers. The BC programs typically have about 75-200 students from grade 10-12. Successful teachers in our schools have the following characteristics: •Interest in living in China and learning about and from the local Chinese students and teaching staff; •Dedication to teaching highly motivated, university-bound students with a range of English proficiency; •Open-minded and enthusiastic about bringing Canadian teaching methods to a Chinese school environment; •Desire to live in tier 2 and 3 Chinese cities that offer authentic Chinese experiences but within close reach of the larger centres of Beijing and Shanghai. Benefits of teaching in a CBC International School include: •Teaching amazing, motivated, university-bound students. Teach the choice classes that might take years to get in Canada; •Excellent salary; •Paid return flights between home-town in Canada and China; •Free, private accommodation; •Medical insurance; •Incredible travel opportunities within China as well as easy access to the tropics in S.E. Asia during long winter holiday; •Low cost of living allows for excellent savings—pay off student loans or save for a down-payment on a home; To Apply: Send resume, cover letter and contact info for two references who have supervised your teaching."
seriousteachers,279670,https://www.seriousteachers.com/job_details/279670/0/,EFL Teacher,Cooperativa Sociale Italo-Cinese,Naples,Italy,Negotiable,,,,,September,,https://www.seriousteachers.com/te2/respond/279670/25032,,"Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Cooperativa Sociale Italo-Cinese Details: The Cooperativa Sociale Italo-cinese located in Naples, at via Gianturco 92, is looking for an English Native English speaker EFL teacher, starting in September. We are looking for a qualified and experienced teacher to teach a range of courses for Chinese students face-to-face. Cambridge speaking examiner would be an advantage. The position involves: - 9 teaching hours per week - class size between 5-10 students aged 6-18 years old - teach Cambridge English A1-C1 use Cambridge English Material preparing them for Cambridge English examination Salary and Benefits can be discussed during the interview. For more details, please email your CV.","Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Cooperativa Sociale Italo-Cinese Details: The Cooperativa Sociale Italo-cinese located in Naples, at via Gianturco 92, is looking for an English Native English speaker EFL teacher, starting in September. We are looking for a qualified and experienced teacher to teach a range of courses for Chinese students face-to-face. Cambridge speaking examiner would be an advantage. The position involves: - 9 teaching hours per week - class size between 5-10 students aged 6-18 years old - teach Cambridge English A1-C1 use Cambridge English Material preparing them for Cambridge English examination Salary and Benefits can be discussed during the interview. For more details, please email your CV."
seriousteachers,279678,https://www.seriousteachers.com/job_details/279678/0/,"English Instructor,teacher,ielts,instructor",Bilingual Idol Language Center,Kuala Lumpur,Malaysia,"1,300",USD,TEFL,,,,,https://www.seriousteachers.com/te2/respond/279678/25038,,"Fields of Expertise: ESL/EFL, Elementary, Curriculum Developer, ESL to Children, High School, University, Summer Camps, Salary: $1,300 USD Bilingual Dol Language Center Details: English Language Teacher 📍 Kuala Lumpur, Malaysia | 🌐 Remote-Friendly | 💼 Part-time/Full-time/Freelance/Contract 📝 Role Summary Bilingual Idol Language Center (BILC) is seeking motivated and passionate English language teachers to join our growing, multicultural teaching team. In this role, you will deliver English lessons to international learners on-site at our Kuala Lumpur center. Success in this position means Delivering engaging and effective language instruction Helping students improve communication fluency and test readiness (e.g., IELTS) Creating a positive and inclusive learning experience This role is essential to our mission of empowering students with strong language skills for academic, career, and everyday success. You will work closely with students from diverse cultural backgrounds and be supported by an experienced academic team. 🎯 Key Responsibilities Prepare and deliver English lessons (General English, Conversation, or IELTS) based on student levels and course objectives Facilitate acti","Fields of Expertise: ESL/EFL, Elementary, Curriculum Developer, ESL to Children, High School, University, Summer Camps, Salary: $1,300 USD Bilingual Dol Language Center Details: English Language Teacher 📍 Kuala Lumpur, Malaysia | 🌐 Remote-Friendly | 💼 Part-time/Full-time/Freelance/Contract 📝 Role Summary Bilingual Idol Language Center (BILC) is seeking motivated and passionate English language teachers to join our growing, multicultural teaching team. In this role, you will deliver English lessons to international learners on-site at our Kuala Lumpur center. Success in this position means Delivering engaging and effective language instruction Helping students improve communication fluency and test readiness (e.g., IELTS) Creating a positive and inclusive learning experience This role is essential to our mission of empowering students with strong language skills for academic, career, and everyday success. You will work closely with students from diverse cultural backgrounds and be supported by an experienced academic team. 🎯 Key Responsibilities Prepare and deliver English lessons (General English, Conversation, or IELTS) based on student levels and course objectives Facilitate active, student-centered learning through digital tools or classroom methods Monitor and assess student progress, providing timely feedback Adapt teaching materials and strategies to suit learner needs Participate in academic meetings or training sessions as needed Maintain professional communication with staff, students, and parents (if applicable) 📚 Qualifications Strong command of English (native-level or C2 proficiency) TEFL, TESOL, CELTA certification (or a degree in education/languages) preferred Previous teaching experience (online or in-person) Excellent interpersonal, verbal, and written communication skills Confidence using Zoom, Google Meet, or other online teaching platforms Ability to create an inclusive, motivating learning environment Highly organized, responsible, and adaptable 🌟 What We Offer Flexible scheduling options (weekday or weekend classes) Remote or on-site teaching roles depending on your location and preference Access to curriculum materials and academic support Opportunity to work with an experienced, multilingual team A rewarding role helping international learners succeed Competitive hourly pay based on experience and teaching level"
seriousteachers,280358,https://www.seriousteachers.com/job_details/280358/0/,Online English teachers,Hellokid,Online,Online,Negotiable,USD,TEFL,,1 year,,,https://www.seriousteachers.com/te2/respond/280358/25377,,"Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Details: Join Hellokid – Teach, Grow, and Build a Lasting Online Career With over 10 years in the online education industry, a community of 30,000+ active young learners, and a trusted team of 2,000+ foreign teachers worldwide, Hellokid is a platform you can build a real career on — not just a side gig. What You’ll Do: · Deliver engaging 1-on-1 English lessons to students aged 4–16 · Teach 25-minute structured classes with all materials provided — no prep needed Requirements: · Education: High school diploma or above · Native or near-native British or American accent · Reliable internet connection and a quiet teaching environment What We Offer: · Competitive pay: $3.5–$5.5 per 25-min class, with growth potential based on performance · Stable monthly payments via PayPal or Payoneer (paid by the 25th) · 1-year renewable contract — enjoy long-term income stability · All lesson materials provided — just show up and teach Requirements & Commitment At Hellokid, consistency is the key to success. Teachers who maintain a stable, committed schedule are rewarded with a steady stream of returning students — and that means stead","Fields of Expertise: ESL/EFL, ESL to Children, Salary: Negotiable Details: Join Hellokid – Teach, Grow, and Build a Lasting Online Career With over 10 years in the online education industry, a community of 30,000+ active young learners, and a trusted team of 2,000+ foreign teachers worldwide, Hellokid is a platform you can build a real career on — not just a side gig. What You’ll Do: · Deliver engaging 1-on-1 English lessons to students aged 4–16 · Teach 25-minute structured classes with all materials provided — no prep needed Requirements: · Education: High school diploma or above · Native or near-native British or American accent · Reliable internet connection and a quiet teaching environment What We Offer: · Competitive pay: $3.5–$5.5 per 25-min class, with growth potential based on performance · Stable monthly payments via PayPal or Payoneer (paid by the 25th) · 1-year renewable contract — enjoy long-term income stability · All lesson materials provided — just show up and teach Requirements & Commitment At Hellokid, consistency is the key to success. Teachers who maintain a stable, committed schedule are rewarded with a steady stream of returning students — and that means steady income for you. 📋 Qualifications: · High school diploma or above · Minimum 1 year of teaching experience · Valid teaching certificate required: TEFL / TESOL / CELTA or equivalent · Native or near-native British or American accent 🕐 Schedule Commitment (Stability = More Students = More Earnings): · Open 4–6 days per week with at least 14 fixed hours during peak hours: 6:00 PM – 9:30 PM (Beijing Time), Monday to Sunday · Weekday availability: 4:00 PM – 10:00 PM BJT · Weekend availability: 2:00 PM – 10:00 PM BJT · Minimum 4 consecutive time slots per day · If teaching only 4 days/week, at least 1 weekend day is required · ⭐ Weekend availability is strongly preferred and leads to faster student matching 💻 Technical Requirements: · Stable, high-speed internet: ↑ 10 Mbps upload / ↓ 30 Mbps download · Computer: Intel Core i5 or above, processor benchmark score 4,000+ · Quiet, professional teaching environment"
seriousteachers,280372,https://www.seriousteachers.com/job_details/280372/0/,"Mathematics Teacher (IGCSE, AS & A Leve",,Ulaanbaatar,Mongolia,Negotiable,,Bachelor,,,,,https://www.seriousteachers.com/te2/respond/280372/25269,,"Required Degrees: Bachelor and above Fields of Expertise: High School, Science, Math/Physics, Salary: Negotiable Details: About the Position We are seeking a highly qualified, passionate, and dedicated Mathematics Teacher to join our secondary school faculty. This role focuses on delivering rigorous, high-quality instruction to high school students preparing for international examinations. If you have a deep understanding of advanced mathematics and a proven track record of guiding students to academic success in international curricula, we welcome your application. Key Responsibilities Curriculum Delivery: Teach Mathematics across Cambridge IGCSE, AS, and A Level (or equivalent international frameworks), covering topics such as Pure Mathematics, Mechanics, and Statistics. Exam Preparation: Prepare students thoroughly for external examinations, focusing on past paper analysis, exam techniques, and problem-solving strategies. Differentiated Instruction: Plan and deliver engaging, structured lessons that challenge high-achieving students while supporting those building foundational skills. Assessment & Feedback: Formatively and summatively assess student progress, providing clear, co","Required Degrees: Bachelor and above Fields of Expertise: High School, Science, Math/Physics, Salary: Negotiable Details: About the Position We are seeking a highly qualified, passionate, and dedicated Mathematics Teacher to join our secondary school faculty. This role focuses on delivering rigorous, high-quality instruction to high school students preparing for international examinations. If you have a deep understanding of advanced mathematics and a proven track record of guiding students to academic success in international curricula, we welcome your application. Key Responsibilities Curriculum Delivery: Teach Mathematics across Cambridge IGCSE, AS, and A Level (or equivalent international frameworks), covering topics such as Pure Mathematics, Mechanics, and Statistics. Exam Preparation: Prepare students thoroughly for external examinations, focusing on past paper analysis, exam techniques, and problem-solving strategies. Differentiated Instruction: Plan and deliver engaging, structured lessons that challenge high-achieving students while supporting those building foundational skills. Assessment & Feedback: Formatively and summatively assess student progress, providing clear, constructive feedback to foster continuous academic growth. Candidate Requirements Education: Bachelor’s Degree or higher in Mathematics, Education (with a Math major), or a closely related STEM field. Experience: Minimum of 3 years of teaching experience at the secondary/high school level, with explicit experience delivering IGCSE, AS, and A Level Mathematics curricula. Skills: * Deep pedagogical knowledge of advanced mathematical concepts. Ability to break down complex abstract ideas into digestible, step-by-step learning. Fluency in English (instruction is conducted in English). Excellent classroom management and organizational skills. What We Offer We value our educators and provide a comprehensive benefits package to ensure a comfortable and rewarding teaching experience: Competitive Salary: Commensurate with qualifications and experience. Free Accommodation: Fully provided housing, allowing for a smooth and stress-free transition. Flight Allowance: Round-trip airfare ticket provided. Health Insurance: Comprehensive coverage for your peace of mind. Daily Meals: Complimentary breakfast and lunch provided on campus. School Uniforms: Comfortable and stylish school apparel provided (including Polo T-shirts, hoodies, etc.). Professional Environment: Access to excellent resources and a supportive, collaborative team. How to Apply Please submit your updated CV and a brief cover letter detailing your specific experience teaching IGCSE, AS, and A Level Mathematics via the SeriousTeachers platform. Note: Only shortlisted candidates will be contacted for an interview."
